Biomarker,Type,Organ(s)
4DELF,Proteomic,Colon
5p15,Genomic,Lung
7p12 (EGFR),Genomic,Lung
8 Gene Panel for Barretts Esophagus,Panel,Esophagus
80 Gene Panel for Lung Cancer,Panel,Lung
8q24 (C-MYC),Genomic,Lung
ABCA2,Gene,Prostate
Aberrant Vimentin DNA Methylation in Stool,Epigenetic,Colon
ACBP,Protein,Lung
ACKR3,Protein,Ovary
ACO1,Gene,Prostate
ACSL3,Gene,Prostate
ACTC1,Gene,Prostate
ACTR3,Protein,Ovary
ACY1,Gene,Prostate
ADAM12,Protein,Ovary
ADH5,Protein,Breast
ADIPOQ,Protein,Breast
AFP,Protein,"Breast, Liver, Ovary"
AFP-L3,Protein,Liver
AFPIC,Protein,Liver
AGR2,Gene,Prostate
AGRN,Protein,Ovary
AGTPBP1,Gene,Prostate
AHNAK2,Gene,Prostate
AKAP12,Genomic,Esophagus
AKR1B1,Protein,Breast
AKR1B10,Gene,Lung
AKR1C2,Protein,Breast
ALCAM,Protein,Pancreas
ALDH1A2,Gene,Prostate
ALDH3A1,Gene,Lung
ALG10,Protein,Breast
ALPL,Protein,Breast
AMACR,Protein,Prostate
AMBP,Protein,Ovary
AMD1,Gene,Prostate
AMFR,Gene,Prostate
AMY2A,Protein,Ovary
ANG,Protein,Lung
ANGPTL3,Protein,Lung
ANKRD40,Gene,Prostate
Annexin 1 and SOX2,Protein,Lung
ANO1,Protein,Breast
ANXA1,Protein,"Breast, Lung"
ANXA2,Protein,"Lung, Ovary, Prostate"
ANXA3,Gene,Prostate
AP1S2,Gene,Prostate
AP3B2,Protein,Breast
APAF1,Protein,Breast
APC,Genomic,"Lung, Prostate"
APCS,Protein,Ovary
APEX1,Protein,Lung
APOA1,Protein,Ovary
APOB,Protein,Ovary
APOC4,Protein,Ovary
APOLD1,Gene,Prostate
AREG,Proteomic,Pancreas
ARHGDIA,Gene,Prostate
ARHGEF16,Protein,Breast
ARHGEF40,Gene,Prostate
ARID5A,Gene,Prostate
ATF3,Protein,"Breast, Prostate"
ATP6AP1,Protein,Breast
ATP6AP2,Protein,Ovary
ATP6V1G1,Protein,Breast
AUH,Gene,Prostate
AZGP1,Gene,Prostate
B2M,Protein,Ovary
BAC clone RP11-499F19,Protein,Lung
Bajtarevic VOCs signature,Protein,Lung
BANK1,Protein,Breast
BCAM,Protein,Ovary
BCHE,Gene,Prostate
BCL2L14,Gene,Prostate
BCL2L2,Protein,Breast
BDNF,Protein,"Breast, Prostate"
BGLAP,Protein,Breast
BHMT2,Gene,Prostate
Bianchi 34-marker miRNA Signature for Lung Cancer,Panel,Lung
BIN1,Gene,Prostate
BLVRB,Protein,Ovary
BMP1,Protein,Lung
BMX,Protein,Breast
Boeri miRNA signature of diagnosis of lung cancer,Panel,Lung
Boeri miRNA signature of risk for lung cancer,Panel,Lung
BPIFA1,Gene,Lung
BPSA,Protein,Prostate
BRCA1,Protein,Breast
BTN2A1,Gene,Prostate
BVES,Gene,Lung
C15orf48,Protein,Breast
C1QBP,Gene,Prostate
C1S,Protein,Lung
C3,Protein,Ovary
C6orf62,Gene,Prostate
C7,Gene,Prostate
C9,Protein,Lung
CA125,Protein,"Breast, Ovary"
CA15-3,Protein,"Breast, Lung, Ovary, Prostate"
CA19-9,Protein,"Breast, Ovary, Pancreas, Prostate"
CA72-4,Protein,Ovary
CADM1,Protein,Ovary
CAGE,Protein,Lung
CALCA,Gene,Head-and-neck
CALR,Gene,Prostate
CAND2,Gene,Prostate
CAPN1,Protein,Lung
CAPNS1,Protein,Lung
CAT,Gene,Lung
CAV1,Gene,Prostate
CAVIN1,Gene,Prostate
CAVIN2,Gene,Prostate
CBLC,Protein,"Lung, Ovary"
CBX4,Gene,Prostate
CCDC102B,Protein,Ovary
CCDC69,Gene,Prostate
CCDC91,Gene,Prostate
CCL11,Protein,"Breast, Ovary"
CCL13,Protein,Breast
CCL15,Protein,Lung
CCL17,Protein,Breast
CCL18,Protein,"Lung, Prostate"
CCL2,Protein,Breast
CCL20,Gene,Prostate
CCL22,Protein,Breast
CCL26,Protein,Breast
